"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","NUM_COLLISIONS"
"53",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,73.8,60.3,0.443693693693694
"54",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,74.7,61.7,0.601351351351351
"55",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,77.3,60.9,0.662162162162162
"56",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,75.7,65.2,0.376126126126126
"57",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,73.9,62.4,0.369369369369369
"58",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,71.9,66.3,0.542792792792793
"59",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,77.9,67.4,0.630630630630631
"60",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2012,73.3,53.2,0.547297297297297
"61",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2012,72,49.4,0.70045045045045
"62",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2012,78.7,56.1,0.887387387387387
"63",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2012,81.6,61.3,0.468468468468468
"64",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,75.4,65.9,0.256756756756757
"65",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,73.8,65.1,0.148648648648649
"66",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,72.6,68.4,0.673423423423423
"67",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,75.2,71.5,0.662162162162162
"68",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2012,73.2,65.3,0.596846846846847
"69",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,77,67.8,0.84009009009009
"70",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2012,75.3,69.6,0.655405405405405
"71",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,68.4,57.3,0.353603603603604
"72",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,65.4,49.1,0.743243243243243
"73",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,62.8,41.8,0.481981981981982
"74",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,68.5,49.7,0.774774774774775
"75",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2012,70.4,54.8,0.731981981981982
"76",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,70.5,57.7,0.68018018018018
"77",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2012,67.2,54.1,0.563063063063063
"78",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,65.1,46.5,0.34009009009009
"79",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,66.5,48,0.326576576576577
"80",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,70.6,64.8,0.560810810810811
"81",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,66.7,56.1,0.686936936936937
"82",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2012,61,48.3,0.484234234234234
"83",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,64.7,53.7,0.781531531531532
"84",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2012,66.3,60.6,0.540540540540541
"85",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,63.8,50.3,0.38963963963964
"86",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2012,59,40.4,0.574324324324324
"87",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2012,62,43.4,0.646396396396396
"88",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2012,67.7,56.8,0.218468468468468
"89",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2012,69,60.4,0.704954954954955
"90",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2012,65.2,61.8,0.891891891891892
"91",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2012,62.4,58.8,0.400900900900901
"92",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2012,60.5,52.5,0.31981981981982
